#Photon Spectrum
-------------------
#Bin	 	#counts
----        -------
6.62608e-21	,	0
9.17636e-21	,	0.000151
1.27082e-20	,	0.000277
1.75994e-20	,	0.000468
2.43732e-20	,	0.000751
3.37541e-20	,	0.001218
4.67457e-20	,	0.00214
6.47374e-20	,	0.003298
8.9654e-20	,	0.005064
1.24161e-19	,	0.007827
1.71948e-19	,	0.011458
2.38129e-19	,	0.01725
3.29781e-19	,	0.024231
4.5671e-19	,	0.034778
6.32491e-19	,	0.047049
8.75928e-19	,	0.061314
1.21306e-18	,	0.076105
1.67995e-18	,	0.088598
2.32654e-18	,	0.094976
3.222e-18	,	0.093381
4.4621e-18	,	0.083909
6.1795e-18	,	0.069107
8.55791e-18	,	0.05545
1.18517e-17	,	0.044167
1.64133e-17	,	0.034828
2.27305e-17	,	0.028156
3.14792e-17	,	0.022629
4.35952e-17	,	0.018367
6.03743e-17	,	0.014407
8.36116e-17	,	0.01168
1.15793e-16	,	0.009212
1.6036e-16	,	0.007592
2.2208e-16	,	0.005934
3.07555e-16	,	0.004885
4.25929e-16	,	0.003879
5.89863e-16	,	0.003022
8.16894e-16	,	0.002464
1.1313e-15	,	0.001942
1.56673e-15	,	0.001646
2.16974e-15	,	0.001289
3.00484e-15	,	0.000969
4.16137e-15	,	0.00081
5.76302e-15	,	0.000646
7.98113e-15	,	0.000566
1.1053e-14	,	0.00042
1.53071e-14	,	0.000355
2.11986e-14	,	0.000265
2.93576e-14	,	0.000226
4.0657e-14	,	0.000176
5.63053e-14	,	0.000139
7.79764e-14	,	9.3e-05
1.07989e-13	,	7.7e-05
1.49552e-13	,	6.2e-05
2.07112e-13	,	4.4e-05
2.86827e-13	,	5.6e-05
3.97223e-13	,	3.1e-05
5.50108e-13	,	2.9e-05
7.61838e-13	,	2.8e-05
1.05506e-12	,	2.1e-05
1.46114e-12	,	1.7e-05
2.02351e-12	,	1.2e-05
2.80233e-12	,	5e-06
3.88091e-12	,	1.1e-05
5.37461e-12	,	7e-06
7.44323e-12	,	1e-05
1.0308e-11	,	8e-06
1.42754e-11	,	4e-06
1.97699e-11	,	5e-06
2.7379e-11	,	2e-06
3.79168e-11	,	0
5.25105e-11	,	4e-06
7.27211e-11	,	0
1.0071e-10	,	0
1.39473e-10	,	0
1.93154e-10	,	2e-06
2.67496e-10	,	0
3.70451e-10	,	0
5.13033e-10	,	1e-06
7.10492e-10	,	0
9.83951e-10	,	0
1.36266e-09	,	0
1.88713e-09	,	0
2.61346e-09	,	0
3.61935e-09	,	0
5.01238e-09	,	0
6.94158e-09	,	0
9.6133e-09	,	0
1.33133e-08	,	0
1.84374e-08	,	0
2.55338e-08	,	0
3.53614e-08	,	0
4.89715e-08	,	0
6.78199e-08	,	0
9.39229e-08	,	0
1.30073e-07	,	0
1.80136e-07	,	0
2.49467e-07	,	0
3.45484e-07	,	0
4.78456e-07	,	0
6.62608e-07	,	0
